Operating Station No.,应到总票数,Qty | Arrived,Data Date
JHR7561,1422,1449,2025-04-20
JHR301,8244,9412,2025-04-19
JHR357,8903,9321,2025-04-19
JHR361,3978,4053,2025-04-19
JHR369,2382,2473,2025-04-19
JHR371,7495,7362,2025-04-19
JHR374,2740,2902,2025-04-19
JHR378,3483,3739,2025-04-19
JHR043,0,2,2025-04-19
JHR345,12397,12435,2025-04-19
JHR7564,2526,1019,2025-04-19
JHR382,3061,3290,2025-04-19
JHR384,4081,4333,2025-04-19
JHR302,5861,8225,2025-04-19
JHR315,6012,5773,2025-04-19
JHR7563,3418,3366,2025-04-19
JHR334,4059,5118,2025-04-19
JHR7422,1563,1623,2025-04-19
JHR360,7652,8374,2025-04-19
JHR379,22,0,2025-04-19
JHR386,4,0,2025-04-19
JHR042,0,6,2025-04-19
JHR307,5942,5617,2025-04-19
JHR310,15679,17294,2025-04-19
JHR319,2938,4059,2025-04-19
JHR343,6076,5335,2025-04-19
JHR366,2716,2771,2025-04-19
JHR373,4897,4965,2025-04-19
JHR376,3084,3630,2025-04-19
JHR381,16,3402,2025-04-19
JHR385,1315,1411,2025-04-19
JHR435,3696,3715,2025-04-19
JHR341,3469,4409,2025-04-19
JHR356,6848,6413,2025-04-19
JHR372,2338,2382,2025-04-19
JHR7401,1750,1753,2025-04-19
JHR383,2202,2389,2025-04-19
JHR389,3105,3356,2025-04-19
JHR336,12889,13505,2025-04-19
JHR362,9775,10367,2025-04-19
JHR368,6144,5705,2025-04-19
JHR370,5171,5314,2025-04-19
JHR349,5829,5949,2025-04-19
JHR350,4293,4529,2025-04-19
JHR359,8623,10586,2025-04-19
JHR365,5968,6140,2025-04-19
JHR375,3258,3105,2025-04-19
JHR377,15298,4273,2025-04-19
JHR380,2481,2725,2025-04-19
JHR429,2369,2443,2025-04-19
JHR354,5545,6784,2025-04-19
JHR7429,217,523,2025-04-19
JHR358,2409,2603,2025-04-19
JHR7561,1550,1594,2025-04-19
JHR301,10378,11003,2025-04-18
JHR357,6763,9654,2025-04-18
JHR361,3876,4015,2025-04-18
JHR369,1971,2775,2025-04-18
JHR371,7232,7847,2025-04-18
JHR374,2411,3107,2025-04-18
JHR378,1003,3745,2025-04-18
JHR345,9075,11917,2025-04-18
JHR7564,959,982,2025-04-18
JHR382,2379,3113,2025-04-18
JHR384,3862,4671,2025-04-18
JHR302,8611,9771,2025-04-18
JHR315,4859,7762,2025-04-18
JHR7563,2922,3329,2025-04-18
JHR334,3293,4230,2025-04-18
JHR7422,1532,1620,2025-04-18
JHR360,4720,5899,2025-04-18
JHR379,57,0,2025-04-18
JHR386,6,0,2025-04-18
JHR307,3080,4215,2025-04-18
JHR310,18705,19123,2025-04-18
JHR319,3918,3672,2025-04-18
JHR343,5077,5387,2025-04-18
JHR366,2342,3530,2025-04-18
JHR7598,62,0,2025-04-18
JHR373,4545,4789,2025-04-18
JHR376,4540,5716,2025-04-18
JHR381,2,3838,2025-04-18
JHR385,1222,1291,2025-04-18
JHR435,3451,3629,2025-04-18
JHR341,4579,4022,2025-04-18
JHR356,5051,6964,2025-04-18
JHR372,1943,2233,2025-04-18
JHR7401,1648,2724,2025-04-18
JHR383,1704,2196,2025-04-18
JHR389,2461,3444,2025-04-18
JHR336,9590,14421,2025-04-18
JHR362,10315,10960,2025-04-18
JHR368,4581,6196,2025-04-18
JHR370,5156,5417,2025-04-18
JHR349,4455,5919,2025-04-18
JHR350,4329,4327,2025-04-18
JHR359,9787,10560,2025-04-18
JHR365,5093,5942,2025-04-18
JHR375,2735,2959,2025-04-18
JHR377,6002,6156,2025-04-18
JHR380,1951,1972,2025-04-18
JHR429,3256,3343,2025-04-18
JHR354,6349,6532,2025-04-18
JHR7429,12,1074,2025-04-18
JHR358,2355,1262,2025-04-18
JHR7561,1750,1787,2025-04-18
JHR301,14068,12427,2025-04-17
JHR357,9056,10836,2025-04-17
JHR361,4483,4865,2025-04-17
JHR369,3598,3145,2025-04-17
JHR371,9260,9592,2025-04-17
JHR374,3748,3534,2025-04-17
JHR378,3069,4053,2025-04-17
JHR345,16462,14987,2025-04-17
JHR7564,1386,1488,2025-04-17
JHR382,4243,4002,2025-04-17
JHR384,4879,6013,2025-04-17
JHR302,11218,9641,2025-04-17
JHR315,8319,8239,2025-04-17
JHR7563,4536,4222,2025-04-17
JHR334,4763,5242,2025-04-17
JHR7422,1930,2023,2025-04-17
JHR360,4346,4545,2025-04-17
JHR307,6742,5700,2025-04-17
JHR310,19728,20524,2025-04-17
JHR319,5213,4670,2025-04-17
JHR343,5405,7436,2025-04-17
JHR366,3944,2874,2025-04-17
JHR373,6156,5845,2025-04-17
JHR376,5476,6333,2025-04-17
JHR381,2,0,2025-04-17
JHR385,1941,1768,2025-04-17
JHR435,4701,4691,2025-04-17
JHR341,5351,5105,2025-04-17
JHR356,7911,7431,2025-04-17
JHR372,2931,2742,2025-04-17
JHR7401,2431,2766,2025-04-17
JHR383,2614,2662,2025-04-17
JHR389,4172,3591,2025-04-17
JHR336,9107,10655,2025-04-17
JHR362,13214,13867,2025-04-17
JHR368,7454,6842,2025-04-17
JHR370,7040,7155,2025-04-17
JHR349,8510,7241,2025-04-17
JHR350,4990,5282,2025-04-17
JHR359,11374,12912,2025-04-17
JHR365,7495,7154,2025-04-17
JHR375,3625,3763,2025-04-17
JHR377,1802,6411,2025-04-17
JHR380,1124,3453,2025-04-17
JHR429,2017,2059,2025-04-17
JHR354,8689,7803,2025-04-17
JHR7429,0,1542,2025-04-17
JHR358,3478,2641,2025-04-17
JHR7561,1688,1730,2025-04-17
JHR301,10405,11395,2025-04-16
JHR357,14447,10729,2025-04-16
JHR361,4363,4480,2025-04-16
JHR369,3455,3738,2025-04-16
JHR371,8621,8839,2025-04-16
JHR374,3681,3542,2025-04-16
JHR378,6815,3717,2025-04-16
JHR345,12798,12667,2025-04-16
JHR7564,1310,1346,2025-04-16
JHR382,2858,3786,2025-04-16
JHR384,6337,5381,2025-04-16
JHR302,10787,10650,2025-04-16
JHR315,6865,7388,2025-04-16
JHR7563,3916,4307,2025-04-16
JHR334,4869,5066,2025-04-16
JHR7422,1413,1682,2025-04-16
JHR360,8573,12267,2025-04-16
JHR307,3756,5456,2025-04-16
JHR310,22096,21488,2025-04-16
JHR319,3425,4403,2025-04-16
JHR343,6717,5959,2025-04-16
JHR366,3418,3472,2025-04-16
JHR373,5995,6131,2025-04-16
JHR376,6361,5977,2025-04-16
JHR385,1162,1578,2025-04-16
JHR435,4232,4329,2025-04-16
JHR341,5222,5092,2025-04-16
JHR356,6879,7372,2025-04-16
JHR372,2641,2698,2025-04-16
JHR7401,2731,1704,2025-04-16
JHR383,2404,2465,2025-04-16
JHR389,3214,4533,2025-04-16
JHR336,16818,9455,2025-04-16
JHR362,13173,12923,2025-04-16
JHR368,5367,6422,2025-04-16
JHR370,6600,6770,2025-04-16
JHR349,6259,6445,2025-04-16
JHR350,5309,5452,2025-04-16
JHR359,10047,10016,2025-04-16
JHR365,6722,7379,2025-04-16
JHR375,3868,3867,2025-04-16
JHR377,966,4165,2025-04-16
JHR380,5106,4234,2025-04-16
JHR429,3194,3287,2025-04-16
JHR354,6388,7275,2025-04-16
JHR7429,0,2086,2025-04-16
JHR358,2246,1868,2025-04-16
JHR7561,1673,1786,2025-04-16
