DP No. | Delivery,Destination Postcode,T0_Date,AWB_COD_N,AWB_COD_Y,AWB_NCOD_N,AWB_NCOD_Y
JHR334,28000,2025-03-27,0,1,0,0
JHR334,32800,2025-03-27,0,1,0,0
JHR334,33400,2025-03-27,0,1,0,0
JHR334,34500,2025-03-27,0,0,0,1
JHR334,40000,2025-03-27,0,3,0,0
JHR334,40200,2025-03-27,0,1,0,0
JHR334,40300,2025-03-27,0,1,0,0
JHR334,40460,2025-03-27,0,0,0,1
JHR334,41200,2025-03-27,0,3,0,0
JHR334,42000,2025-03-27,0,1,0,0
JHR334,42700,2025-03-27,0,1,0,0
JHR334,43800,2025-03-27,0,1,0,0
JHR334,47801,2025-03-27,0,1,0,0
JHR334,50100,2025-03-27,0,1,0,0
JHR334,56000,2025-03-27,0,1,0,0
JHR334,80000,2025-03-27,3,22,2,8
JHR334,80050,2025-03-27,0,9,0,3
JHR334,80100,2025-03-27,3,3,0,5
JHR334,80110,2025-03-27,1,1,0,1
JHR334,80150,2025-03-27,0,7,1,2
JHR334,80200,2025-03-27,6,8,0,10
JHR334,80250,2025-03-27,48,312,27,250
JHR334,80300,2025-03-27,12,75,7,92
JHR334,80350,2025-03-27,233,727,133,1171
JHR334,80400,2025-03-27,0,7,0,3
JHR334,80500,2025-03-27,0,1,0,0
JHR334,80530,2025-03-27,1,5,0,0
JHR334,80570,2025-03-27,0,1,0,0
JHR334,80594,2025-03-27,0,0,0,1
JHR334,80604,2025-03-27,0,0,1,8
JHR334,80648,2025-03-27,1,0,0,4
JHR334,80700,2025-03-27,0,1,0,2
JHR334,80990,2025-03-27,0,3,1,2
JHR334,81100,2025-03-27,4,6,1,13
JHR334,81200,2025-03-27,4,28,1,51
JHR334,81300,2025-03-27,3,6,0,4
JHR334,81400,2025-03-27,0,1,0,0
JHR334,81440,2025-03-27,0,2,0,0
JHR334,81750,2025-03-27,0,2,0,0
JHR334,81760,2025-03-27,0,1,0,0
JHR334,82100,2025-03-27,0,1,0,0
JHR334,83000,2025-03-27,0,1,0,0
JHR334,84300,2025-03-27,0,1,0,0
JHR334,84700,2025-03-27,1,0,0,0
JHR334,86500,2025-03-27,0,1,0,0
JHR334,88200,2025-03-27,1,0,0,0
JHR334,89008,2025-03-27,2,0,0,0
JHR334,89150,2025-03-27,0,1,0,0
JHR334,90000,2025-03-27,0,1,0,0
JHR334,91000,2025-03-27,0,2,0,0
JHR334,91207,2025-03-27,0,0,0,1
JHR336,1000,2025-03-27,1,1,0,0
JHR336,10150,2025-03-27,0,0,0,1
JHR336,10200,2025-03-27,1,0,0,0
JHR336,10300,2025-03-27,1,0,0,1
JHR336,10470,2025-03-27,0,1,0,0
JHR336,10990,2025-03-27,0,1,0,0
JHR336,11000,2025-03-27,1,0,0,0
JHR336,11010,2025-03-27,0,1,0,0
JHR336,11060,2025-03-27,1,0,0,0
JHR336,11500,2025-03-27,1,2,0,0
JHR336,11600,2025-03-27,1,0,0,1
JHR336,11700,2025-03-27,1,1,0,0
JHR336,11900,2025-03-27,1,0,0,0
JHR336,11920,2025-03-27,2,1,0,0
JHR336,11960,2025-03-27,1,1,0,0
JHR336,12100,2025-03-27,0,1,0,0
JHR336,12200,2025-03-27,2,0,0,0
JHR336,13200,2025-03-27,1,1,0,0
JHR336,13300,2025-03-27,0,1,0,0
JHR336,13400,2025-03-27,1,1,0,0
JHR336,13600,2025-03-27,1,0,0,0
JHR336,13700,2025-03-27,0,2,0,0
JHR336,13800,2025-03-27,2,0,0,0
JHR336,14000,2025-03-27,5,1,0,0
JHR336,14100,2025-03-27,2,0,0,0
JHR336,14200,2025-03-27,1,0,0,0
JHR336,14300,2025-03-27,0,1,0,0
JHR336,15000,2025-03-27,0,1,0,0
JHR336,15150,2025-03-27,0,2,0,0
JHR336,15200,2025-03-27,0,1,0,0
JHR336,15350,2025-03-27,0,1,0,0
JHR336,15400,2025-03-27,1,1,0,0
JHR336,16090,2025-03-27,0,1,0,0
JHR336,16100,2025-03-27,1,0,0,0
JHR336,16150,2025-03-27,0,1,0,0
JHR336,16210,2025-03-27,0,1,0,0
JHR336,16250,2025-03-27,1,1,0,0
JHR336,16300,2025-03-27,1,0,0,0
JHR336,16400,2025-03-27,0,1,0,0
JHR336,16450,2025-03-27,0,2,0,1
JHR336,16700,2025-03-27,0,1,0,0
JHR336,16800,2025-03-27,2,0,0,0
JHR336,17000,2025-03-27,1,1,0,0
JHR336,17070,2025-03-27,0,1,0,0
JHR336,17200,2025-03-27,0,1,0,0
JHR336,17600,2025-03-27,1,0,0,0
JHR336,18000,2025-03-27,1,1,0,0
JHR336,18300,2025-03-27,0,2,0,0
JHR336,20000,2025-03-27,0,1,0,0
JHR336,2100,2025-03-27,1,0,0,0
JHR336,21020,2025-03-27,1,0,0,0
JHR336,21200,2025-03-27,1,0,0,0
JHR336,21400,2025-03-27,0,1,0,0
JHR336,21600,2025-03-27,0,1,1,0
JHR336,22000,2025-03-27,3,2,0,0
JHR336,23000,2025-03-27,0,1,0,0
JHR336,23050,2025-03-27,0,1,0,0
JHR336,24000,2025-03-27,1,1,0,0
JHR336,25150,2025-03-27,0,1,0,0
JHR336,26060,2025-03-27,0,1,0,0
JHR336,26100,2025-03-27,0,1,0,0
JHR336,26400,2025-03-27,0,1,0,0
